SubmissionID,OverridePrimaryTheme,OverrideSubtheme,Reviewed,OverrideNotes,UpdatedAt
xXLzaqG,Drivers,"Macroeconomic Drivers: Inflation, Growth and Cycles",True,,2026-03-11T08:05:12
xXo7z9J,Taxation and tax evasion,"Corporate Taxation, Profit Shifting and Evasion",False,,2026-03-06T13:49:47
yPpbLz8,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
yPpbzo8,Taxation and tax evasion,"Tax Incidence, Redistribution and Welfare Effects",False,,2026-03-06T13:49:47
yPpr78p,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
zx4XMME,Inequality dynamics,Distributional National Accounts and Data Infrastructure,True,,2026-03-11T08:03:14
zxOapRg,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
zxRA6V8,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
zxRR80a,Drivers,"Technology, Automation and Digital Transformation",True,,2026-03-11T08:05:12
zxRb7qa,Drivers,Crime,True,,2026-03-11T08:46:13
zxRbM51,Drivers,"Education, Skills and Human Capital Channels",True,,2026-03-11T08:05:12
zxvBrNE,Taxation and tax evasion,Wealth Taxation and Capital Income Tax Design,False,,2026-03-06T13:49:47
ASEntry1,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
ASEntry2,Gender inequality,Gender Wage Gaps and Labor Income Inequality,False,,2026-03-06T13:49:47
ASEntry3,Inequality dynamics,Measurement bias,True,,2026-03-11T08:03:14
ASEntry4,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
ASEntry5,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
ASEntry6,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
